id, name, teamName
1, New Jersey Devils, Devils
2, New York Islanders,Islanders
3, New York Rangers, Rangers
4, Philadelphia Flyers, Flyers
5, Pittsburgh Penguins, Penguins
6, Boston Bruins, Boston
7, Buffalo Sabres, Sabres
8, Montréal Canadiens, Canadiens
9, Ottawa Senators, Senators
10, Toronto Maple Leafs, Maple Leafs
11, Atlanta Thrashers, Thrashers
12, Carolina Hurricanes, Hurricanes
13, Florida Panthers, Panthers
14, Tampa Bay Lightning, Lightning
15, Washington Capitals, Capitals
16, Chicago Blackhawks, Blackhawks
17, Detroit Red Wings, Red Wings
18, Nashville Predators, Predators
19, St. Louis Blues, Blues
20, Calgary Flames, Flames
21, Colorado Avalanche, Avalanche
22, Edmonton Oilers, Oilers
23, Vancouver Canucks, Canucks
24, Anaheim Ducks, Ducks
25, Dallas Stars, Stars
26, Los Angeles Kings, Kings
27, Phoenix Coyotes, Coyotes
28, San Jose Sharks, Sharks
29, Columbus Blue Jackets, Blue Jackets
30, Minnesota Wild, Wild
52, Winnipeg Jets, Jets
53, Arizona Coyotes, Coyotes
54, Vegas Golden Knights, Golden Knights
